DOCUMENT_ID,TITULO,DOMINIO,TIPO_DOCUMENTO,FONTE,DOENCA,ANO,CODIGO_UF,UF_NOME,LOCALIZACAO,SEMANA_INICIAL,SEMANA_FINAL,TOTAL_SEMANAS,ARQUIVO_JSON,ARQUIVO_MARKDOWN,MARKDOWN_EXISTE
SINAN_DENGUE_2026_CLINICO_BRASIL,Panorama clínico dos registros de dengue no Brasil - 2026,clinico,panorama_clinico_nacional,SINAN,dengue,2026,,,,1.0,34.0,34.0,clinicas/panorama_clinico/sinan_dengue_2026_clinico_brasil.json,clinicas/panorama_clinico/sinan_dengue_2026_clinico_brasil.md,True
SINAN_DENGUE_2026_CLINICO_11,Perfil clínico dos registros de dengue em Rondônia - 2026,clinico,perfil_clinico_uf,SINAN,dengue,2026,11.0,Rondônia,,1.0,34.0,34.0,clinicas/perfil_clinico_por_uf/sinan_dengue_2026_clinico_11.json,clinicas/perfil_clinico_por_uf/sinan_dengue_2026_clinico_11.md,True
SINAN_DENGUE_2026_CLINICO_12,Perfil clínico dos registros de dengue em Acre - 2026,clinico,perfil_clinico_uf,SINAN,dengue,2026,12.0,Acre,,1.0,34.0,34.0,clinicas/perfil_clinico_por_uf/sinan_dengue_2026_clinico_12.json,clinicas/perfil_clinico_por_uf/sinan_dengue_2026_clinico_12.md,True
SINAN_DENGUE_2026_CLINICO_13,Perfil clínico dos registros de dengue em Amazonas - 2026,clinico,perfil_clinico_uf,SINAN,dengue,2026,13.0,Amazonas,,1.0,34.0,34.0,clinicas/perfil_clinico_por_uf/sinan_dengue_2026_clinico_13.json,clinicas/perfil_clinico_por_uf/sinan_dengue_2026_clinico_13.md,True
SINAN_DENGUE_2026_CLINICO_14,Perfil clínico dos registros de dengue em Roraima - 2026,clinico,perfil_clinico_uf,SINAN,dengue,2026,14.0,Roraima,,1.0,34.0,34.0,clinicas/perfil_clinico_por_uf/sinan_dengue_2026_clinico_14.json,clinicas/perfil_clinico_por_uf/sinan_dengue_2026_clinico_14.md,True
SINAN_DENGUE_2026_CLINICO_15,Perfil clínico dos registros de dengue em Pará - 2026,clinico,perfil_clinico_uf,SINAN,dengue,2026,15.0,Pará,,1.0,34.0,34.0,clinicas/perfil_clinico_por_uf/sinan_dengue_2026_clinico_15.json,clinicas/perfil_clinico_por_uf/sinan_dengue_2026_clinico_15.md,True
SINAN_DENGUE_2026_CLINICO_16,Perfil clínico dos registros de dengue em Amapá - 2026,clinico,perfil_clinico_uf,SINAN,dengue,2026,16.0,Amapá,,1.0,34.0,34.0,clinicas/perfil_clinico_por_uf/sinan_dengue_2026_clinico_16.json,clinicas/perfil_clinico_por_uf/sinan_dengue_2026_clinico_16.md,True
SINAN_DENGUE_2026_CLINICO_17,Perfil clínico dos registros de dengue em Tocantins - 2026,clinico,perfil_clinico_uf,SINAN,dengue,2026,17.0,Tocantins,,1.0,34.0,34.0,clinicas/perfil_clinico_por_uf/sinan_dengue_2026_clinico_17.json,clinicas/perfil_clinico_por_uf/sinan_dengue_2026_clinico_17.md,True
SINAN_DENGUE_2026_CLINICO_21,Perfil clínico dos registros de dengue em Maranhão - 2026,clinico,perfil_clinico_uf,SINAN,dengue,2026,21.0,Maranhão,,1.0,34.0,34.0,clinicas/perfil_clinico_por_uf/sinan_dengue_2026_clinico_21.json,clinicas/perfil_clinico_por_uf/sinan_dengue_2026_clinico_21.md,True
SINAN_DENGUE_2026_CLINICO_22,Perfil clínico dos registros de dengue em Piauí - 2026,clinico,perfil_clinico_uf,SINAN,dengue,2026,22.0,Piauí,,1.0,34.0,34.0,clinicas/perfil_clinico_por_uf/sinan_dengue_2026_clinico_22.json,clinicas/perfil_clinico_por_uf/sinan_dengue_2026_clinico_22.md,True
